,,,,,,,,,,,
Number,Description,Department,Lvl,Primary,Alternate,Total,Enrollment Max,Section Count,,,
MSTAT12---,STATISTICS 12,Mathematics,Regular,1,0,1,29,0,,,
,,,,,,,,,,,
MTAUT11---,AUTOMOTIVE TECHNOLOGY 11,Applied Skills,Regular,17,10,27,21,1,,,
,,,,,,,,,,,
MTAUT12---,AUTOMOTIVE TECHNOLOGY 12,Applied Skills,Regular,35,9,44,21,2,,,
,,,,,,,,,,,
MTDRF10---,ADST –  DRAFTING 10,Applied Skills,Regular,38,37,75,24,2,,,
,,,,,,,,,,,
MTDRF11---,DRAFTING 11,Applied Skills,Regular,19,9,28,24,1,,,
,,,,,,,,,,,
MTDRF12---,DRAFTING 12,Applied Skills,Regular,17,10,27,24,1,,,
,,,,,,,,,,,
MTEAD12---,ENGINE AND DRIVETRAIN 12,Applied Skills,Regular,4,2,6,21,0,,,
,,,,,,,,,,,
MTEAR10---,ADST –  ELECTRONICS AND ROBOTICS 10,Applied Skills,Regular,16,19,35,24,1,,,
,,,,,,,,,,,
MTEAR10--L,ADST –  ELECTRONICS AND ROBOTICS 10 Linear,Applied Skills,Regular,14,0,14,24,1,,,
,,,,,,,,,,,
MTEXP10D--,ADST-Technology Explorations 10 Design Innov & Inq,Information Tech,,7,14,21,24,0,,,
,,,,,,,,,,,
MTPOW10---,ADST –  POWER TECHNOLOGY 10,Applied Skills,Regular,21,13,34,21,1,,,
,,,,,,,,,,,
MTROB11---,ROBOTICS 11,Applied Skills,Regular,8,8,16,24,0,,,
,,,,,,,,,,,
MTROB11--L,ROBOTICS 11 LINEAR,Applied Skills,Regular,7,0,7,24,0,,,
,,,,,,,,,,,
MTROB12---,ROBOTICS 12,Applied Skills,Regular,3,1,4,24,0,,,
,,,,,,,,,,,
MTROB12--L,ROBOTICS 12 LINEAR,Applied Skills,Regular,8,0,8,24,0,,,
,,,,,,,,,,,
MVAPH10---,VISUAL ARTS: PHOTOGRAPHY 10,Fine Arts,Regular,23,32,55,24,1,,,
,,,,,,,,,,,
MVAPH11---,PHOTOGRAPHY 11,Fine Arts,Regular,19,16,35,24,1,,,
,,,,,,,,,,,
MVAPH12---,PHOTOGRAPHY 12,Fine Arts,Regular,6,11,17,24,0,,,
,,,,,,,,,,,
MVAST10---,VISUAL ARTS: ART STUDIO 10,Fine Arts,Regular,29,23,52,29,1,,,
,,,,,,,,,,,
MVAST11---,ART STUDIO 11,Fine Arts,Regular,11,18,29,29,0,,,
,,,,,,,,,,,
MVAST12---,ART STUDIO 12,Fine Arts,Regular,22,11,33,29,1,,,
,,,,,,,,,,,
MWBDV10IT-,Information and Communications Technologies 10,Information Tech,,26,16,42,24,1,,,
,,,,,,,,,,,
MWEX-2A--L,WORK EXPERIENCE 12A LINEAR,Career Prep,Regular,5,0,5,29,0,,,
,,,,,,,,,,,
MWEX-2B--L,WORK EXPERIENCE 12B LINEAR,Career Prep,Regular,2,0,2,29,0,,,
,,,,,,,,,,,
MWH--12---,20th CENTURY WORLD HISTORY 12,Social Studies,,48,14,62,24,2,,,
,,,,,,,,,,,
MWPM-10---,WORKPLACE MATHEMATICS 10,Mathematics,Regular,17,0,17,29,1,,,
,,,,,,,,,,,
MWPM-11---,WORKPLACE MATHEMATICS 11,Mathematics,Regular,29,0,29,29,1,,,
,,,,,,,,,,,
MWWK-10---,ADST –  WOODWORK 10,Applied Skills,Regular,26,25,51,21,1,,,
,,,,,,,,,,,
MWWK-11---,WOODWORK 11,Applied Skills,Regular,11,11,22,21,1,,,
,,,,,,,,,,,
MWWK-12---,WOODWORK 12,Applied Skills,Regular,18,8,26,21,1,,,
,,,,,,,,,,,
XBA--09B-L,BEGINNER BAND 9 LINEAR,Band,Regular,3,0,3,100,0,,,
,,,,,,,,,,,
XBA--09C-L,CONCERT BAND 9 Linear,Band,Regular,41,4,45,100,0,,,
,,,,,,,,,,,
XBA--09G--,CONCERT BAND 9 - Guitar,Band,Regular,23,25,48,29,1,,,
,,,,,,,,,,,
XBA--09J-L,JAZZ BAND 9 LINEAR,Music,Regular,18,0,18,100,0,,,
,,,,,,,,,,,
XC---09--L,CONCERT CHOIR 9 Linear,Music,Regular,16,0,16,50,0,,,
,,,,,,,,,,,
XLDCB09LS-,LEARNING STRATEGIES 9 LD,Personal Development,Regular,1,0,1,29,0,,,
,,,,,,,,,,,
XLDCB09LSL,LEARNING STRATEGIES 9 LD LINEAR,Personal Development,Regular,1,0,1,29,0,,,
,,,,,,,,,,,
XLDCB09M--,TECH ED 9: MECHANICS LD,Technology Education,Regular,21,25,46,21,1,,,
,,,,,,,,,,,
XLDCB09S-L,STRINGS 9 LINEAR,Band,Regular,13,0,13,100,0,,,
,,,,,,,,,,,
XLDCE09NM-,NUMERACY 9,Mathematics,Regular,11,0,11,20,1,,,
,,,,,,,,,,,
XLEAD09---,LEADERSHIP 9 LD,Personal Development,Regular,16,16,32,29,1,,,
,,,,,,,,,,,
XSIEP2A---,IEP MODIFIED 12A LD,Special Education,Regular,1,0,1,29,0,,,
,,,,,,,,,,,
XSIEP2B---,IEP MODIFIED 12B LD,Special Education,Regular,1,0,1,29,0,,,
,,,,,,,,,,,
XSIEP2C---,IEP MODIFIED 12C LD,Special Education,Regular,1,0,1,29,0,,,
,,,,,,,,,,,
XSIEP2D---,IEP MODIFIED 12D LD,Special Education,Regular,1,0,1,29,0,,,
,,,,,,,,,,,
XSIEP2E---,IEP MODIFIED 12E LD,Special Education,Regular,1,0,1,29,0,,,
,,,,,,,,,,,
XSIEP2F---,IEP MODIFIED 12F LD,Special Education,Regular,1,0,1,29,0,,,
,,,,,,,,,,,
XSIEP2G---,IEP MODIFIED 12G LD,Support Services,Regular,1,0,1,29,0,,,
,,,,,,,,,,,
XSIEP2H---,IEP MODIFIED 12H LD,Support Services,Regular,1,0,1,29,0,,,
,,,,,,,,,,,
YCPA-0AX-L,COMMUNITY LEADERSHIP 10 Linear,Personal Development,Regular,23,0,23,200,0,,,
,,,,,,,,,,,
YCPA-0AXE-,COMMUNITY LEADERSHIP 10,Personal Development,Regular,14,0,14,50,0,,,
,,,,,,,,,,,
YCPA-1AX-L,COMMUNITY LEADERSHIP 11 Linear,Personal Development,Regular,26,0,26,200,0,,,
,,,,,,,,,,,
YCPA-1AXE-,COMMUNITY LEADERSHIP 11,Personal Development,Regular,16,0,16,50,0,,,
,,,,,,,,,,,
YCPA-2AX-L,COMMUNITY LEADERSHIP 12 Linear,Personal Development,Regular,31,0,31,200,0,,,
,,,,,,,,,,,
YCPA-2AXE-,COMMUNITY LEADERSHIP 12,Personal Development,Regular,17,0,17,50,0,,,
,,,,,,,,,,,
YED--0AX--,LEARNING STRATEGIES 10,Applied Skills,Regular,8,0,8,20,0,,,
,,,,,,,,,,,
YED--0AX-L,LEARNING STRATEGIES 10 LINEAR,Applied Skills,Regular,6,0,6,20,0,,,
,,,,,,,,,,,
YED--0BX-L,PEER TUTORING 10 LINEAR,Personal Development,Regular,7,0,7,50,0,,,
,,,,,,,,,,,
YED--1DX--,LEARNING STRATEGIES 11,Applied Skills,Regular,10,0,10,20,1,,,
,,,,,,,,,,,
YED--1DX-L,LEARNING STRATEGIES 11 LINEAR,Applied Skills,Regular,3,0,3,20,0,,,
,,,,,,,,,,,
YED--1EX-L,PEER TUTORING 11 LINEAR,Personal Development,Regular,12,0,12,50,0,,,
,,,,,,,,,,,
YED--2CX--,LEARNING STRATEGIES 12,Applied Skills,Regular,11,0,11,20,1,,,
,,,,,,,,,,,
YED--2CX-L,LEARNING STRATEGIES 12 LINEAR,Applied Skills,Regular,2,0,2,20,0,,,
,,,,,,,,,,,
YED--2DX-L,PEER TUTORING 12 LINEAR,Personal Development,Regular,17,0,17,50,0,,,
,,,,,,,,,,,
YED--2FX-L,SCHOLARSHIP PREPARATION 12 LINEAR,Applied Skills,Regular,41,0,41,100,0,,,
,,,,,,,,,,,
YESFL0AX--,BEGINNERS ELL 10,English,Regular,1,1,2,24,0,,,
,,,,,,,,,,,
YESFL1CX--,ELL Academic Literacy 11,English,Regular,5,0,5,24,0,,,
,,,,,,,,,,,
YLAW-2CX--,CRIMINOLOGY 12,Social Studies,Regular,78,43,121,24,3,,,
,,,,,,,,,,,
YLRA-0AX-L,ATHLETIC LEADERSHIP 10 U16,Physical Education,Regular,24,0,24,100,0,,,
,,,,,,,,,,,
YLRA-1AX-L,ATHLETIC LEADERSHIP 11 Linear,Personal Development,Regular,14,0,14,100,0,,,
,,,,,,,,,,,
YLRA-2AX-L,ATHLETIC LEADERSHIP 12 Linear,Personal Development,Regular,15,0,15,100,0,,,
,,,,,,,,,,,
YMIS-1DD--,DESIGN AND INNOVATION 11,Applied Skills,Regular,4,4,8,24,0,,,
,,,,,,,,,,,
YMIS-2DD--,DESIGN AND INNOVATION 12,Applied Skills,Regular,4,2,6,24,0,,,
,,,,,,,,,,,
YPA--0CX--,YOGA FOR MINDFULNESS 10,Personal Development,Regular,13,18,31,29,0,,,
,,,,,,,,,,,
YPA--1CX--,YOGA FOR MINDFULNESS 11,Personal Development,Regular,10,9,19,29,0,,,
,,,,,,,,,,,
YPA--2CX--,YOGA FOR MINDFULNESS 12,Personal Development,Regular,5,6,11,29,0,,,
,,,,,,,,,,,
